candidate_id,source_batch_id,min_current_width_atr,untouched_lookback,tp_sl_ratio,tp_atr_multiplier,sl_atr_multiplier,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
w04-lb130-r4_75,lab_3d_w04_lb_ratio,4,130,4.75,14.25,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,757,757,0.1941875825627476882430647292,1.115027830831488385495525784,88.25000000000000324201795138,88.25000000000000324201795138,0.5046349876164290182706544814,-0.2225172491332248357744440541,424,0.1910377358490566037735849057,41.75000000000000282842161397,41.75000000000000282842161397,333,0.1981981981981981981981981982,46.50000000000000041359633739,46.50000000000000041359633739,run_f27140ae17704608a3f96eb7f9f16f0d,ema_pullback:34956ff532d002bbfc8624c8
w04-lb130-r5_0,lab_3d_w04_lb_ratio,4,130,5.0,15.0,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,754,754,0.1870026525198938992042440318,1.083307720763471010807564808,91.9999999999999999537094365,91.9999999999999999537094365,0.321180090266798773780208788,-0.2601204615731184536540741693,422,0.1872037914691943127962085308,52.00000000000000747978280219,52.00000000000000747978280219,332,0.1867469879518072289156626506,39.99999999999999247392663434,39.99999999999999247392663434,run_699b100f97194ad5b8a183a27d67f389,ema_pullback:58dca9da0e794d3e2211a950
w04-lb135-r2_0,lab_3d_w04_lb_ratio,4,135,2.0,6.0,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,751,751,0.3528628495339547270306258322,1.067792045825258607134948718,43.99999999999999799711547995,43.99999999999999799711547995,0.2470824072190045815084269269,-0.1241264522034069516502852292,419,0.3770883054892601431980906921,55.00000000000000011279477343,55.00000000000000011279477343,332,0.3222891566265060240963855422,-11.00000000000000211567929351,-11.00000000000000211567929351,run_5584ab5b6fb04a0882ab3203dff7a4ed,ema_pullback:1975e93bad174a563c852d2c
w04-lb135-r2_25,lab_3d_w04_lb_ratio,4,135,2.25,6.75,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,750,750,0.3186666666666666666666666667,1.015498412746925204925974765,26.75000000000000235135198277,26.75000000000000235135198277,0.05187519204201272628527236963,-0.1881512084206273506464942173,418,0.3325358851674641148325358852,33.75000000000000221392830741,33.75000000000000221392830741,332,0.3012048192771084337349397590,-6.999999999999999862576324625,-6.999999999999999862576324625,run_a5c424546ba94c1aa5a94edb65fb3ca1,ema_pullback:fa65c05e8aa1bc6379545879
w04-lb135-r2_5,lab_3d_w04_lb_ratio,4,135,2.5,7.5,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,750,750,0.3013333333333333333333333333,1.051416724048019409035656535,41.00000000000000171806984852,41.00000000000000171806984852,0.1875030450470905389086237092,-0.1709531849386939044250023274,418,0.3086124401913875598086124402,33.50000000000000420228300538,33.50000000000000420228300538,332,0.2921686746987951807228915663,7.499999999999997515786843108,7.499999999999997515786843108,run_ebc407e4cb7041299f2b0eab01d244d3,ema_pullback:1ff5950aa4ef62b65657b51b
w04-lb135-r2_75,lab_3d_w04_lb_ratio,4,135,2.75,8.25,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,748,748,0.2874331550802139037433155080,1.073411728899651527290922145,58.25000000000000547581611288,58.25000000000000547581611288,0.280189767785384859027145357,-0.1787191116743056150121878202,417,0.2925659472422062350119904077,40.50000000000000382781093074,40.50000000000000382781093074,331,0.2809667673716012084592145015,17.75000000000000164800518208,17.75000000000000164800518208,run_33c539fe35af4809bec134b1752d3ae4,ema_pullback:79e880961d1e4584365ed0f1
w04-lb135-r3_0,lab_3d_w04_lb_ratio,4,135,3.0,9.0,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,748,748,0.2687165775401069518716577540,1.070128781334051178308650765,56.00000000000000115492509304,56.00000000000000115492509304,0.274492189172089257368051416,-0.2149673563559260427769282792,417,0.2733812949640287769784172662,39.00000000000000140476433971,39.00000000000000140476433971,331,0.2628398791540785498489425982,16.99999999999999975016075329,16.99999999999999975016075329,run_1cc2178de1e04350b4ceb1793dc30649,ema_pullback:c8ec2fc3baf210aeb40ac7ea
w04-lb135-r3_25,lab_3d_w04_lb_ratio,4,135,3.25,9.75,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,747,747,0.2583668005354752342704149933,1.103815379842691880609556517,73.25000000000000211079143330,73.25000000000000211079143330,0.4397114216456262712772548312,-0.1777198011301472494625280097,417,0.2613908872901678657074340528,46.25000000000000295577425807,46.25000000000000295577425807,330,0.2545454545454545454545454545,26.99999999999999915501717530,26.99999999999999915501717530,run_1a5a6c46ae324df5bdc34293ec9c8bdc,ema_pullback:cb913424d9ab6a19e083a7fc
w04-lb135-r3_5,lab_3d_w04_lb_ratio,4,135,3.5,10.5,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,746,746,0.2453083109919571045576407507,1.123203995797102580285349410,77.50000000000000497642297247,77.50000000000000497642297247,0.5437975546787907471343610051,-0.1674304499445619197440717686,417,0.2446043165467625899280575540,42.00000000000000447097258697,42.00000000000000447097258697,329,0.2462006079027355623100303951,35.50000000000000050545038553,35.50000000000000050545038553,run_ca0955ed1e27426d9bc682cfe7631091,ema_pullback:6549e25e132d6c63e39c71d2
w04-lb135-r3_75,lab_3d_w04_lb_ratio,4,135,3.75,11.25,3.0,0d36a5e5a5317c634b63543661ce6d871ce52e6114593a0d0c6cf527da5192d0,745,745,0.2362416107382550335570469799,1.149766940159771434738660304,90.99999999999999816673563972,90.99999999999999816673563972,0.6997807822181709035124041831,-0.1570277135371201931171137486,416,0.2283653846153846153846153846,35.24999999999999890652729399,35.24999999999999890652729399,329,0.2462006079027355623100303951,55.74999999999999926020834570,55.74999999999999926020834570,run_8ad73cae90524974b46877ad014bd103,ema_pullback:b695cfe60ae0bafbcfb2bce0
