candidate_id,source_batch_id,untouched_lookback,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
lookback-050,eth_ema200_untouched_anchor_sweep,50,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1780,1780,0.5033707865168539325842696629,0.9871552060836639496868064798,12,12,-0.1060597812708209866075750519,-0.5055589697308133163925873929,945,0.5100529100529100529100529101,19,19,835,0.4958083832335329341317365269,-7,-7,run_373569d7636646eb8065bf6516602dce,ema_pullback:b67f3eae986435c42ce6c5c6
lookback-051,eth_ema200_untouched_anchor_sweep,51,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1760,1760,0.5056818181818181818181818182,0.9935658111253130102827559634,20,20,-0.05295618919431105247214553925,-0.4829294488677342667435952988,929,0.5134553283100107642626480086,25,25,831,0.4969915764139590854392298436,-5,-5,run_6d87829d81a1412085d5ca7772dc8e4a,ema_pullback:d106514ac2ba813dcba1ead1
lookback-052,eth_ema200_untouched_anchor_sweep,52,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1740,1740,0.5074712643678160919540229885,1.000505715606043139878446987,26,26,0.0042511091452549903583098987,-0.4769002930368193690374799751,915,0.5169398907103825136612021858,31,31,825,0.4969696969696969696969696970,-5,-5,run_da333e93eb48451b934c47091d4dbcbc,ema_pullback:8ee997c1d1237c79eca96c18
lookback-053,eth_ema200_untouched_anchor_sweep,53,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1718,1718,0.5075669383003492433061699651,0.9997946824117025815639148880,26,26,-0.001675988474310676345856409636,-0.4780146335719012887608782958,906,0.5154525386313465783664459161,28,28,812,0.4987684729064039408866995074,-2,-2,run_8b220ab6e93e481ba83ef9658e473ba4,ema_pullback:54ad20dc896aa0766a928c06
lookback-054,eth_ema200_untouched_anchor_sweep,54,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1692,1692,0.5059101654846335697399527187,0.9953261462577245839909189754,20,20,-0.03674783839202495741987462631,-0.4824965514636243366423244384,892,0.5145739910313901345291479821,26,26,800,0.49625,-6,-6,run_16ba67dbf6d9462396471ef61bc5dfa2,ema_pullback:0777183413bfe271a61d5065
lookback-055,eth_ema200_untouched_anchor_sweep,55,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1679,1679,0.5062537224538415723645026802,0.9998480656522976969851015112,21,21,-0.001188813286922295570777030497,-0.4645745610085587781121696026,886,0.5135440180586907449209932280,24,24,793,0.4981084489281210592686002522,-3,-3,run_eaed18dd011c444aa6a33b6b5f8f36b4,ema_pullback:aa8034b512847d819541dd17
lookback-056,eth_ema200_untouched_anchor_sweep,56,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1664,1664,0.5078125,1.002878242737294189151901465,26,26,0.02256912491563029282950499507,-0.4546481366954510338833312871,878,0.5136674259681093394077448747,24,24,786,0.5012722646310432569974554707,2,2,run_f42fe85546a7400c821b5987be0c1a74,ema_pullback:73dc4ec909c5a9c16e3b7ec8
lookback-057,eth_ema200_untouched_anchor_sweep,57,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1653,1653,0.5081669691470054446460980036,1.001428942841183811253931520,27,27,0.0110831279435998098350759278,-0.4600889353559686071055832745,872,0.5137614678899082568807339450,24,24,781,0.5019206145966709346991037132,3,3,run_78b130515e2144f8b4c0560737967c71,ema_pullback:3c4915b1cc5fa78da67d6ebb
lookback-058,eth_ema200_untouched_anchor_sweep,58,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1631,1631,0.5082771305947271612507664010,1.004406368527308283361605522,27,27,0.03506931219668529198197159276,-0.4747391793078179926352609606,859,0.5145518044237485448195576251,25,25,772,0.5012953367875647668393782383,2,2,run_1edd899d8cc44ee0a4064de2d7e248a8,ema_pullback:a2773c307fdcf516f38e5a60
lookback-059,eth_ema200_untouched_anchor_sweep,59,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1614,1614,0.5111524163568773234200743494,1.012473411911376763286237023,36,36,0.1016784266515464658171496418,-0.4673488418027045122254538858,850,0.5164705882352941176470588235,28,28,764,0.5052356020942408376963350785,8,8,run_5f4c0fa7a897442fb97ff332ab8dcddf,ema_pullback:bd662649b10f92ed0159f4b9
lookback-060,eth_ema200_untouched_anchor_sweep,60,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1602,1602,0.5106117353308364544319600499,1.012410506059221804890619860,34,34,0.1002412966648381962583657271,-0.4586395939776702649254152392,846,0.5165484633569739952718676123,28,28,756,0.5039682539682539682539682540,6,6,run_59bd95ed95e34145991e8a169bcb1e5d,ema_pullback:6a509610dd090bbcf0ee65d7
lookback-061,eth_ema200_untouched_anchor_sweep,61,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1576,1576,0.5126903553299492385786802030,1.018206605307221788461257348,40,40,0.1465049778786719458691407815,-0.4549840496293526524937615346,827,0.5211608222490931076178960097,35,35,749,0.5033377837116154873164218959,5,5,run_a236d9ce6955407ea573ad597fe5d8fe,ema_pullback:ced1bc83fb45e89a6927e3fc
