candidate_id,source_batch_id,min_current_width_atr,untouched_lookback,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
w05-lb060,lab_width_x_untouched_2d_v1,5,60,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1065,1065,0.5248826291079812206572769953,1.074730741264856450650541614,53,53,0.2721246953883310735959828211,-0.1055447621910516914023885112,602,0.5348837209302325581395348837,42,42,463,0.5118790496760259179265658747,11,11,run_b0b739b51a5a4523a081998ae3930056,ema_pullback:888c2ce8024166e6738a76ff
w05-lb065,lab_width_x_untouched_2d_v1,5,65,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1035,1035,0.5275362318840579710144927536,1.089223487916076779374469353,57,57,0.3244297536167884692565019377,-0.1121417346592248944589000082,585,0.5367521367521367521367521368,43,43,450,0.5155555555555555555555555556,14,14,run_4993cf50566e4fa2a4022d2d4f7873f1,ema_pullback:82b19bf103094d400563baa8
w05-lb070,lab_width_x_untouched_2d_v1,5,70,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1005,1005,0.5303482587064676616915422886,1.094535132055546914583701315,61,61,0.3300120485757513277205612517,-0.1010493135503594320486411164,572,0.5402097902097902097902097902,46,46,433,0.5173210161662817551963048499,15,15,run_f10036fa556046829ba8a534cf2b37df,ema_pullback:54e0cf0b68bc15841b3d3381
w05-lb075,lab_width_x_untouched_2d_v1,5,75,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,967,967,0.5315408479834539813857290589,1.110132637950219300938240519,61,61,0.3771357963932123482553178551,-0.1027617510120494666053182074,547,0.5393053016453382084095063985,43,43,420,0.5214285714285714285714285714,18,18,run_61bb674d6d5a4b85a7934b65c2eec18f,ema_pullback:4e49397149a8f857cef3fa27
w05-lb080,lab_width_x_untouched_2d_v1,5,80,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,928,928,0.5387931034482758620689655172,1.127060142049414369288597032,72,72,0.4222976888734368304968654336,-0.0900277862615184809539567246,523,0.5487571701720841300191204589,51,51,405,0.5259259259259259259259259259,21,21,run_d908906438de44cea604238574854011,ema_pullback:706e05c8b6754cac198a0135
w05-lb085,lab_width_x_untouched_2d_v1,5,85,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,903,903,0.5426356589147286821705426357,1.130429875160074988579731339,77,77,0.4216449948135826102845269811,-0.0900277862615184809539567235,508,0.5531496062992125984251968504,54,54,395,0.5291139240506329113924050633,23,23,run_f0125d55582d49159358aa92ca15b5a1,ema_pullback:b1a0367e485e0c56903ed629
w05-lb090,lab_width_x_untouched_2d_v1,5,90,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,882,882,0.5453514739229024943310657596,1.155179794452842151571773407,80,80,0.5039085639206218699215207384,-0.0853540487195045571557928237,491,0.5580448065173116089613034623,57,57,391,0.5294117647058823529411764706,23,23,run_18a41920f997415d8dcc9d02462eb959,ema_pullback:dc424e1fd7217c6db29e1da9
w05-lb095,lab_width_x_untouched_2d_v1,5,95,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,859,859,0.5506402793946449359720605355,1.177972757755839697405727783,87,87,0.5769727864111057788399400158,-0.0809594573400944760711796914,474,0.5696202531645569620253164557,66,66,385,0.5272727272727272727272727273,21,21,run_ddd23887c0ab4edbaa08fb61001eae83,ema_pullback:ed56b19e999d93317e74d6fa
w05-lb100,lab_width_x_untouched_2d_v1,5,100,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,839,839,0.5518474374255065554231227652,1.177612574937453655731654705,87,87,0.567930756621930657892159677,-0.0809594573400944760711796913,462,0.5692640692640692640692640693,64,64,377,0.5305039787798408488063660477,23,23,run_a03b5f51bd0040258d0184a6956a29e1,ema_pullback:fc847def5980b7ad10f350a4
w05-lb105,lab_width_x_untouched_2d_v1,5,105,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,814,814,0.5552825552825552825552825553,1.187303188873530070250819948,90,90,0.5690339092060985124554789842,-0.0824861332656177311466783127,448,0.578125,70,70,366,0.5273224043715846994535519126,20,20,run_c6b0dca2c7054295bb984a47f22a6249,ema_pullback:fa5528a2861240136b025207
w05-lb110,lab_width_x_untouched_2d_v1,5,110,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,791,791,0.5537294563843236409608091024,1.186981021065168423029785049,85,85,0.5485750472538369298445398736,-0.0824861332656177311466783123,436,0.5756880733944954128440366972,66,66,355,0.5267605633802816901408450704,19,19,run_a2b174004e274b55a7bd0ce9c9582f6e,ema_pullback:5f350922d0916361b2e04c43
w05-lb115,lab_width_x_untouched_2d_v1,5,115,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,770,770,0.5532467532467532467532467532,1.203206942833597084331406063,82,82,0.5831341572284119862199494724,-0.0824861332656177311466783125,422,0.5758293838862559241706161137,64,64,348,0.5258620689655172413793103448,18,18,run_a87ead28f86f44db94b44b2a09484ec6,ema_pullback:419ad4915ac0488ac6ec6445
w05-lb120,lab_width_x_untouched_2d_v1,5,120,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,754,754,0.5517241379310344827586206897,1.207530733707503821579185475,78,78,0.5875071094690268099340289751,-0.0809077847586370115821667569,413,0.5738498789346246973365617433,61,61,341,0.5249266862170087976539589443,17,17,run_dba78af04f4546c6b57084c3f4f35e04,ema_pullback:696e7acb042047bdc7535a72
w05-lb125,lab_width_x_untouched_2d_v1,5,125,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,727,727,0.5447042640990371389270976616,1.176623598782446815606314638,65,65,0.4622108167353522365274280542,-0.0772462704397481884463353870,401,0.5660847880299251870324189526,53,53,326,0.5184049079754601226993865031,12,12,run_184d732d43b94f0aa5f49dd78b7196bb,ema_pullback:3264ab9b7fa56b628915cfa9
w05-lb130,lab_width_x_untouched_2d_v1,5,130,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,710,710,0.5422535211267605633802816901,1.167910764666171718200716156,60,60,0.4271953442099253905569638774,-0.0779381208979158849411407550,393,0.5648854961832061068702290076,51,51,317,0.5141955835962145110410094637,9,9,run_772faf246ff944dea26424bd27a220ff,ema_pullback:fb2e6db80a69f30a5bcd2c2b
w05-lb135,lab_width_x_untouched_2d_v1,5,135,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,694,694,0.5360230547550432276657060519,1.144522056835235424703464740,50,50,0.3570040355420964287979354432,-0.0818985127846124811015126623,385,0.5584415584415584415584415584,45,45,309,0.5080906148867313915857605178,5,5,run_8f333895a2ca4eafacd929e8d841c158,ema_pullback:4878490c34828f18ccabb1dd
